Shock_Date,Published_At,Title,Score
2025-08-01,2025-08-01T14:00:00Z,Australia's Spy Boss Asks Defense Workers To Stop Oversharing on LinkedIn,0.2354
2025-08-01,2025-08-04T19:07:09Z,4 people who have seen the Epstein files say nothing suggests he was a spy,0.6597
2025-08-01,2025-07-29T08:10:01Z,"Was disgraced financier Jeffrey Epstein a spy? There's nothing about that in the Epstein files, sources say.",-0.8642
2025-08-01,2025-08-01T18:45:15Z,China says US spies exploited Microsoft Exchange zero-day to steal military info,-0.9493
2025-08-01,2025-08-01T06:28:14Z,Top spy says LinkedIn profiles that list defence work 'recklessly invite attention of foreign intelligence services',0.9584
2025-08-01,2025-07-31T16:00:11Z,"Kremlin goons caught abusing ISPs to spy on Moscow-based diplomats, Microsoft says",-0.9136
2025-08-01,2025-07-29T20:47:59Z,Robotic Cuttlefish Camera Catches a Desperate Escape From a Seal,0.6908
2025-08-01,2025-07-29T18:00:00Z,This Plane Is Bigger than a 747. It Can Fly for Months on Its Own.,0.6183
2025-08-01,2025-07-29T18:32:01Z,Afghans caught in mass deportations in Iran face an uncertain future at home,0.2023
2025-08-01,2025-07-30T20:14:31Z,Canada’s Bill C-2 Opens The Floodgates To U.S. Surveillance,0.5106
2025-08-01,2025-07-31T21:40:46Z,New James Bond Movie Will Be Written by Creator of ‘Peaky Blinders’,-0.5574
2025-08-01,2025-07-30T09:00:00Z,5 Spy Thrillers That’ll Make You Want To Travel ASAP,0.4019
2025-08-01,2025-07-30T16:10:57Z,Spying on People Through Airportr Luggage Delivery Service,0.5859
2025-08-01,2025-07-30T10:50:00Z,nine steel rings continuously rotate in cycles for SpY’s form-bending kinetic sculpture,0.296
2025-08-01,2025-07-31T22:38:36Z,"Iran drives out 1.5 million Afghans, with some branded spies for Israel",-0.9022
2025-08-01,2025-08-02T23:30:00Z,An Oscar-Nominated Robert Redford Crime Thriller Had A TV Remake That Deserved More Time,0.3919
2025-08-01,2025-07-29T17:35:00Z,Scientists Unveil the Shocking Truth Behind Lightning’s Mysterious Birth,0.3182
2025-08-01,2025-08-02T08:00:00Z,Slow Horses season 6: everything we know so far about the hit Apple TV+ show's return,-0.296
2025-08-01,2025-07-31T16:03:15Z,iOS 18.6 Patches Zero-Day Flaw Exploited In Chrome Attacks,-0.8555
2025-08-01,2025-08-04T20:00:36Z,James May flies to the edge of space in a U2 spy plane,0.7003
2025-08-01,2025-07-30T15:38:57Z,Apple TV+: ‘Slow Horses’ writer to leave the show after season 5,-0.0516
2025-08-01,2025-08-01T23:00:02Z,‘Fubar’ Canceled By Netflix After 2 Seasons,-0.3257
2025-08-01,2025-07-30T09:25:51Z,"Taron Egerton Says He’s “Too Messy” To Play James Bond, Ruling Himself Out Of Denis Villeneuve’s Plans",0.9349
2025-08-01,2025-08-01T14:00:00Z,"Marvel's Eyes Of Wakanda Is Great, But It Creates A Big Problem For Vibranium",0.9797
2025-08-01,2025-08-01T12:00:00Z,Star Trek: Strange New Worlds Season 3's Holodeck Adventure Blends Two Classic TNG Storylines,0.5719
2025-08-01,2025-07-30T23:00:55Z,Amazon’s New ‘War of the Worlds’ Features a Head-Scratching Twist,-0.25
2025-08-01,2025-07-31T15:04:53Z,Morning Rally Fizzles: Stocks Reverse Course After Early Gains.,0.34
2025-08-01,2025-07-30T15:10:22Z,The Federal Reserve Leaves Rates Unchanged,0.0
2025-08-01,2025-07-29T15:06:27Z,Stocks Supported by Strong Earnings and Trade Deal Optimism,0.8442
2025-08-01,2025-07-31T14:00:39Z,Stocks Rally on Stellar Earnings from Microsoft and Meta,0.0
2025-08-01,2025-07-29T20:39:52Z,Stocks Retreat Ahead of Results from Wednesday's FOMC Meeting,0.7717
2025-08-01,2025-08-04T15:30:00Z,Mr. Robot Fans Need To Watch Rami Malek's Sleek Action Thriller On Hulu,0.7506
2025-08-01,2025-08-02T19:49:06Z,Taron Egerton's New Crime Movie Recalls One Of The Best Movies Ever Made,0.4242
2025-08-01,2025-07-29T11:45:00Z,Pedro Pascal Appeared In One Of Matt Damon's Biggest Flops Before His Rise To Fame,0.8236
2025-08-01,2025-07-30T17:25:00Z,Six Classic James Bond Movies Come To 4K Blu-Ray In September,0.8316
2025-08-01,2025-07-31T22:08:26Z,Steven Knight to Write Denis Villeneuve’s James Bond Movie as the Franchise’s Amazon Era Begins to Take Shape,0.4939
2025-08-01,2025-08-04T20:20:19Z,Prime Video's The Assassin Is The Perfect Killing Eve Replacement,0.88
2025-08-01,2025-08-03T14:26:18Z,The Day Of The Jackal Fans Have The Perfect New Crime Thriller To Watch With Prime Video's 90% RT Hit,0.9568
2025-08-01,2025-08-01T15:00:00Z,The Best Joke In The Naked Gun Is A Deranged Take On A Holiday (And Horror) Classic,0.8705
2025-08-01,2025-08-04T07:13:55Z,"Chinese university students told to spy on classmates, report says",-0.802
2025-08-01,2025-08-01T19:07:41Z,First Look Teaser for Hulu's 'Tempest' Korean Conspiracy Thriller Series,-0.7351
2025-08-01,2025-07-31T22:00:00Z,SPYD Attracts $759M in Assets as Fed Keeps Rates Unchanged,0.8591
2025-08-01,2025-07-30T11:57:15Z,How email tracking works behind the scenes,-0.2732
2025-08-01,2025-08-02T14:49:22Z,AMD Strix Halo-powered gaming handheld reveals desktop-like GPU performance — Ryzen AI Max+ 395 was a hairline from the RTX 4060,0.128
2025-08-01,2025-07-29T19:00:00Z,AMD's Ryzen Z2 Extreme portable gaming chip fails to impress in early benchmarks — could driver updates save next-gen handhelds?,0.8948
2025-08-01,2025-08-04T15:54:57Z,Skydance Features & Sports President Don Granger To Lead Film At New Paramount Under Dana Goldberg & Josh Greenstein – The Dish,0.5371
2025-08-01,2025-07-29T22:30:00Z,DIA Gains $359M in Assets as US EU Strike Trade Deal,0.9552
2025-08-01,2025-07-29T15:25:26Z,Microsoft rolls out 'experimental' AI mode for the Edge browser you can ask to spy on all your internetting and lend a helping hand. Yikes!,0.508
2025-08-01,2025-07-31T09:34:56Z,"ASIO disrupted 24 'major' espionage operations in three years, spy chief reveals",-0.4588
2025-08-01,2025-07-29T18:10:20Z,The Newest Luxury In Handbags: Utility,0.5719
2025-08-01,2025-08-01T00:39:00Z,30 Vintage Photos of Cary Grant and Eva Marie Saint During the Filming of ‘North by Northwest’ (1959),0.8625
2025-08-01,2025-07-31T21:00:00Z,"‘Brilliant Minds’ Adds Season 2 Guest Stars Porsha Williams, Molly Bernard, Connor Tomlinson & Laura Vandervoort",0.8225
2025-08-01,2025-08-04T22:00:00Z,SPY Gains $5.5B in Assets as Weak Jobs Data Trigger Selloff,0.5719
2025-08-01,2025-07-29T20:37:03Z,Slow Horses Writer/EP Will Smith Exiting Show After Series 5,0.0
2025-08-01,2025-08-01T23:30:16Z,Arnold Schwarzenegger’s FUBAR Cancelled at Netflix After Two Seasons,-0.368
2025-08-01,2025-07-30T12:37:28Z,New Hyundai Ioniq 2 spy shots - pictures,-0.4215
2025-08-01,2025-07-30T13:26:45Z,New Hyundai Tucson spy shots - pictures,-0.4215
2025-08-01,2025-08-04T00:01:57Z,"Lazarus Group rises again, this time with malware-laden fake FOSS",-0.5562
2025-08-01,2025-07-29T14:48:10Z,"Birds aren’t robots, but their brains are flash drives",-0.9274
2025-08-01,2025-08-01T23:39:12Z,Spy Drops-TENOKE,-0.1531
2025-08-01,2025-07-29T18:55:49Z,Emmy-Nominated ‘Slow Horses’ Writer/EP Will Smith To Exit Show After Season 5; Reveals Emotional Farewell And His Dream Spin-Off,0.8126
2025-08-01,2025-07-30T12:04:27Z,"Crunchyroll’s Summer Sale Features Thousands of Deals Across Anime Figures, Blu-rays, and Cosplay-Ready Apparel",0.3612
2025-08-01,2025-08-04T13:00:00Z,I spent a week using this AIO and it met all of my creative needs — I can't recommend it enough as a school or family computer,0.9612
2025-08-01,2025-07-29T17:17:03Z,"Saint Clare: Rebecca De Mornay on Film's ""Female Empowerment"" Themes",0.8834
2025-08-01,2025-07-29T10:00:00Z,"Meet the CIA-backed venture fund behind Palantir, Anduril—and a spy tool that might be on your phone",0.0772
2025-08-01,2025-07-30T22:30:00Z,SPY Gains $2.3B as S 500 Retreats From Record High,0.8957
2025-08-01,2025-08-02T09:42:00Z,German police expands use of Palantir surveillance software,-0.5106
2025-08-01,2025-07-29T15:37:02Z,"Down Cemetery Road: Thompson, Wilson Star in Apple TV+ Series Adapt",0.9536
2025-08-01,2025-07-31T09:26:01Z,"FBI opens New Zealand office, citing China threat",-0.5267
2025-08-01,2025-08-04T19:36:36Z,"Stella Rimington, Britain's 1st female MI5 spy chief, dead at 90",0.7579
2025-08-01,2025-07-31T20:32:27Z,Stocks Erase Early Gains as Chip Makers and Big Pharma Retreat,0.4939
2025-08-01,2025-08-01T15:17:39Z,Tariffs and Economic Jitters Hammer Stocks,0.0
2025-08-01,2025-07-30T20:33:55Z,Stocks Settle Mixed on Hawkish Fed Chair Powell,-0.1531
2025-08-01,2025-07-30T19:30:00Z,Ex-CIA counterintelligence chief Susan Miller's Russia hoax denials reek of desperation,-0.5267
2025-08-01,2025-07-31T21:00:00Z,"Brilliant Minds Season 2: Laura Vandervoort, Porsha Williams and Others to Guest-Star",0.9081
2025-08-01,2025-08-01T07:49:40Z,Peaky Blinders creator to pen new James Bond movie: Studio,-0.4215
2025-08-01,2025-07-29T20:40:51Z,‘Slow Horses’ Boss Will Smith to Exit After Season 5,-0.0516
2025-08-01,2025-08-04T12:25:05Z,"Everything new on Prime Video in August 2025 – stream 56 new movies and 13 new TV shows, including The Summer I Turned Pretty season 3 and more",0.8805
2025-08-01,2025-07-31T04:03:43Z,Russian Spy Plane Detected off Coast of US Ally,-0.5106
2025-08-01,2025-07-31T09:32:20Z,"Espionage cost Australia $12.5 billion in 2023-24, ASIO boss Mike Burgess says",0.5267
2025-08-01,2025-07-31T13:55:00Z,Lady Gaga’s ‘Mayhem Ball’: A Haunting Dance That Keeps The Crowd In A Trance – Review,0.8873
2025-08-01,2025-08-02T01:17:16Z,Tom Holland Breaks His Silence After Being Shortlisted For James Bond,0.5106
2025-08-01,2025-07-31T12:07:04Z,"Crunchyroll Annual Summer Sale Starts Now: Media, Manga & Much More!",0.5562
2025-08-01,2025-08-03T20:18:53Z,Dragon Lady at Oshkosh: Exclusive U-2 Pilot Interviews Mark 70th Anniversary and Historic Homecoming,0.7579
2025-08-01,2025-07-29T10:00:00Z,"Meet the CIA-backed venture fund behind Palantir, Anduril—and a spy tool that might be on your phone",0.3612
2025-08-01,2025-07-31T14:38:30Z,"The Best New TV Shows Coming To Netflix, HBO Max And More In August 2025",0.9746
2025-08-01,2025-08-01T07:24:25Z,'Peaky Blinders' creator to write new James Bond movie: studio,-0.6808
2025-08-01,2025-07-29T17:00:00Z,Here we go again! Controversial paper questions whether interstellar visitor 3I/ATLAS is 'possibly hostile' alien tech in disguise,-0.9359
2025-08-01,2025-08-02T21:37:35Z,The X11 SECURITY extension from the 1990s,0.968
2025-08-01,2025-07-31T07:01:16Z,"Trump sells the EU more energy and protection, muscling Russia out",0.8687
2025-08-01,2025-08-01T18:00:01Z,"80 New Sci-Fi, Fantasy, and Horror Books Arriving in August",-0.5719
2025-08-01,2025-08-04T10:30:00Z,Alienware 16 Aurora review: Budget specs at a mid-tier price,0.0
2025-08-01,2025-07-31T10:42:40Z,Kash Patel’s Girlfriend Fires Back at Conspiracy Theories About Being an ‘Israeli Spy’ and ‘Honeypot’,-0.9413
2025-08-01,2025-08-01T19:20:22Z,Mesmerizing Kinetic Sculpture Made of Delicately Stacked Steel Rings,0.9468
2025-08-01,2025-07-31T15:47:00Z,Here's When Keira Knightley's 'The Woman In Cabin 10' Thriller Streams On Netflix,0.6786
2025-08-01,2025-08-01T19:13:33Z,6 Exciting New Netflix Movies In August 2025,0.8598
2025-08-01,2025-08-04T18:39:12Z,"Stella Rimington, Britain’s first female MI5 spy chief, dies at 90",0.7964
2025-08-01,2025-07-31T22:19:56Z,Top spy chief issues ‘head-spinning’ warning on AUKUS,-0.8481
2025-08-01,2025-07-31T10:00:00Z,"Lightning on Earth is sparked by a powerful chain reaction from outer space, simulations show",0.7096
2025-08-01,2025-08-04T03:00:00Z,Spy x Family Has Disappointing Update After Its Biggest Confession,0.8271
